Region_ID,D1R_Mean
1,0.48983064
2,0.66667765
3,0.9200512
4,1.0911695
5,1.0904328
6,1.003794
7,1.0123988
8,1.9864019
9,1.5660084
10,1.6948566
11,1.5961152
12,1.7542781
13,1.2512234
14,1.6792585
15,1.114225
16,1.6943169
17,2.4235837
18,2.114609
19,1.9948065
20,1.7633746
21,1.9828745
22,1.8493202
23,1.827354
24,1.8368558
25,1.815375
26,1.7350042
27,1.865389
28,2.2664094
29,2.0148904
30,1.9038336
31,2.1080172
32,1.5330286
33,1.9139665
34,1.6436421
35,1.886065
36,1.8998822
37,1.9133593
38,2.0401235
39,1.942864
40,2.3348005
